day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,,6.679,4.042,6.171,5.008,5.927,4.530,5.577,6.734,5.039,6.002,4.431,,,,,,,,,6.667,5.556,3.889,,,,,,,
2,,8.762,3.967,5.942,4.742,5.859,4.446,5.613,6.682,4.949,5.961,4.525,,,,,,,,,6.111,5.000,4.444,,,,,,,
3,,8.879,3.896,5.683,4.541,5.779,4.388,5.687,6.694,4.849,5.734,4.604,,,,,,,,,5.556,4.444,4.444,,,,,,,
4,,6.475,3.700,5.458,4.511,5.768,4.457,5.780,6.732,4.347,5.414,4.710,,,,,,,,,5.556,4.444,3.889,,,,,,,
5,,3.496,3.592,5.408,4.695,5.707,4.504,5.640,6.673,3.466,5.060,4.815,,,,,,,,,5.556,4.444,3.889,,,,,,,
6,,2.525,3.350,5.450,4.930,5.567,,5.326,6.486,2.875,5.008,4.929,,,,,,,,,5.556,3.889,3.889,,,,,,,
7,,3.283,3.571,5.533,5.185,5.508,,5.545,6.203,2.559,4.998,5.118,,,,,,,,,5.556,3.889,3.333,,,,,,,
8,,4.875,3.956,5.504,5.285,5.482,4.407,5.666,6.060,2.580,4.807,5.251,,,,,,,,,5.000,3.889,2.778,,,,,,,
9,,,4.263,5.329,5.211,5.454,4.519,5.733,5.931,2.527,4.722,5.305,,,,,,,,,5.000,3.889,2.778,,,,,,,
10,,,4.383,5.246,5.234,5.321,4.430,5.566,5.779,2.610,4.577,5.484,,,,,,,,,5.000,3.889,2.222,,,,,,,
11,,,4.575,4.617,5.276,5.162,4.432,5.561,5.685,2.643,4.387,5.633,,,,,,,,,5.000,3.333,2.222,,,,,,,
12,,,4.275,3.858,5.238,5.032,4.555,5.528,5.711,2.584,4.388,5.442,,,,,,,,,5.000,3.333,2.222,,,,,,,
13,,,3.858,3.729,5.189,4.940,4.686,5.478,5.824,2.559,4.458,5.295,,,,,,,,,4.444,3.333,,,,,,,,
14,,,3.408,3.946,5.169,4.940,4.789,5.533,5.947,2.437,4.154,5.191,,,,,,,,,4.444,3.333,1.667,,,,,,,
15,,,3.238,4.158,5.273,4.973,4.834,5.511,6.026,2.360,3.446,5.078,,,,,,,,,4.444,3.333,1.111,,,,,,,
16,,,2.979,4.146,5.317,4.846,4.750,5.418,6.065,2.319,2.891,4.978,,,,,,,,,4.444,3.333,0.556,,,,,,,
17,,,2.938,4.329,5.331,,4.578,5.425,6.052,2.278,2.787,4.876,,,,,,,,,4.444,3.333,0.556,,,,,,,
18,,,3.146,4.417,5.163,4.815,4.515,5.518,5.927,2.234,2.852,4.944,,,,,,,,,4.444,3.333,0.556,,,,,,,
19,,,3.238,4.317,5.296,4.735,4.469,5.620,5.843,2.221,3.165,5.092,,,,,,,,,4.444,3.333,0.556,,,,,,,
20,,,3.154,4.200,5.369,4.601,4.468,5.664,5.787,2.194,3.335,5.170,,,,,,,,,4.444,3.889,0.556,,,,,,,
21,,,3.017,3.950,5.391,4.559,4.438,5.727,5.676,2.235,3.445,5.208,,,,,,,,,4.444,3.889,0.556,,,,,,,
22,,,2.921,3.804,5.384,4.513,4.468,5.698,5.541,2.273,3.624,5.205,,,,,,,,,4.444,3.889,,,,,,,,
23,,,2.929,3.788,5.333,4.388,4.462,5.648,5.540,2.330,3.567,5.123,,,,,,,,,4.444,3.889,0.556,,,,,,,
24,,,2.983,3.763,5.305,4.325,4.387,5.654,5.557,2.476,3.506,5.066,,,,,,,,,4.444,4.444,0.556,,,,,,,
25,,,2.829,3.900,5.220,4.311,4.396,5.600,5.566,2.629,3.355,5.050,,,,,,,,,5.000,4.444,0.556,,,,,,,
26,,,2.633,4.079,5.072,4.328,4.353,5.465,5.727,2.812,3.200,5.025,,,,,,,,,5.000,5.000,1.111,,,,,,,
27,,,2.346,4.213,4.975,4.289,4.250,5.365,5.967,2.925,3.169,4.977,,,,,,,,,5.000,5.000,1.111,,,,,,,
28,,,2.379,4.475,4.911,4.081,4.171,5.312,5.935,3.135,3.217,4.949,,,,,,,,,5.000,5.000,1.111,,,,,,,
29,,,2.621,4.604,4.979,3.747,4.084,5.085,5.798,3.518,3.195,4.957,,,,,,,,,5.000,5.556,1.111,,,,,,,
30,,,2.800,4.667,5.030,3.436,4.126,4.836,5.802,3.832,3.233,5.021,,,,,,,,,5.000,5.000,1.111,,,,,,,
31,,,2.888,4.638,4.975,3.394,4.218,4.729,6.000,3.751,3.342,4.987,,,,,,,,,5.000,5.556,1.667,,,,,,,
32,,,3.017,4.587,4.808,3.483,4.210,4.665,5.959,3.779,3.457,4.932,,,,,,,,,5.000,5.556,1.667,,,,,,,
33,,,3.017,4.600,4.729,3.687,4.227,4.713,5.873,3.873,3.520,4.949,,,,,,,,,3.889,5.556,1.667,,,,,,,
34,,,2.958,4.633,4.658,3.800,4.216,4.756,5.898,3.741,3.678,4.938,,,,,,,,,4.444,5.556,1.111,,,,,,,
35,,,2.942,4.692,4.585,3.845,4.244,4.774,5.761,3.847,3.893,4.963,,,,,,,,,4.444,5.556,1.111,,,,,,,
36,,,2.775,4.754,4.425,3.798,4.327,4.657,5.630,4.017,4.072,4.904,,,,,,,,,4.444,5.556,1.111,,,,,,,
37,,,2.650,4.950,4.273,3.798,4.380,4.540,5.515,4.054,4.134,4.805,,,,,,,,,3.889,5.556,1.111,,,,,,,
38,,,2.679,4.971,4.305,3.937,4.297,4.605,5.415,4.137,4.153,4.699,,,,,,,,,3.889,5.556,1.111,,,,,,,
39,,,2.738,4.992,4.272,4.008,4.138,4.631,5.398,4.240,4.133,4.647,,,,,,,,,4.444,5.000,1.667,,,,,,,
40,,,2.842,4.950,4.189,4.084,4.083,4.704,5.466,4.296,4.133,4.728,,,,,,,,,4.444,5.000,,,,,,,,
41,,,2.875,4.900,4.037,4.071,3.946,4.727,5.649,4.261,4.170,4.675,,,,,,,,,4.444,5.000,,,,,,,,
42,,,2.788,4.888,3.996,4.148,3.812,4.760,5.726,4.238,4.200,4.596,,,,,,,,,5.000,5.000,,,,,,,,
43,,,2.742,4.963,4.016,4.268,3.877,4.580,5.720,4.217,4.253,4.573,,,,,,,,,5.000,5.000,2.222,,,,,,,
44,,,2.838,5.129,4.087,4.342,3.972,4.430,5.714,4.120,4.352,4.687,,,,,,,,,5.000,5.000,2.222,,,,,,,
45,,,3.100,5.200,4.128,4.295,4.049,4.562,5.772,4.117,4.422,4.702,,,,,,,,,5.000,5.000,2.222,,,,,,,
46,,,3.354,5.288,4.137,4.308,4.130,4.548,5.807,4.180,4.385,4.661,,,,,,,,,5.000,5.000,2.222,,,,,,,
47,,,3.308,5.308,4.153,4.347,4.193,4.590,5.816,4.174,4.288,4.478,,,,,,,,,5.000,5.000,1.667,,,,,,,
48,,,3.442,5.383,4.280,4.508,4.117,4.630,5.805,4.043,4.216,3.975,,,,,,,,,5.000,5.000,1.667,,,,,,,
49,,,3.617,5.383,4.311,4.607,3.975,4.701,5.846,4.009,4.133,3.510,,,,,,,,,5.000,5.556,1.667,,,,,,,
50,,,3.725,5.425,4.285,4.595,4.009,4.805,5.910,4.128,4.134,3.313,,,,,,,,,5.000,5.000,2.222,,,,,,,
51,,,3.888,5.446,4.246,4.465,4.101,4.912,5.954,4.199,4.228,3.258,,,,,,,,,5.556,5.000,1.667,,,,,,,
52,,,4.017,5.408,4.312,4.448,4.218,4.950,6.071,4.250,4.314,3.368,4.147,,,,,,,,5.556,5.000,2.222,,,,,,,
53,,,4.196,5.482,4.431,4.509,4.301,5.108,6.199,4.335,4.288,3.645,4.100,,,,,,,,5.556,5.000,2.222,,,,,,,
54,,,4.313,,4.698,4.661,4.235,5.246,6.141,4.311,4.259,3.787,4.174,,,,,,,,5.556,5.000,2.222,,,,,,,
55,,,4.408,5.600,4.947,4.811,4.214,5.472,5.667,4.237,4.258,3.748,4.127,,,,,,,,5.556,5.000,2.778,,,,,,,
56,,,4.425,5.588,5.095,4.697,4.239,5.305,5.330,4.271,4.295,3.492,4.048,,,,,,,,5.556,5.000,3.333,,,,,,,
57,,,4.533,5.654,5.169,4.582,4.253,5.076,5.333,4.318,4.370,3.304,4.163,,,,,,,,5.556,5.000,2.778,,,,,,,
58,,,4.579,5.600,5.140,4.551,4.280,4.974,5.380,4.408,4.450,3.335,4.269,4.986,,,,14.160,,,5.556,5.000,2.778,,,,,,,
59,,,4.442,5.542,5.203,4.724,4.148,4.844,5.492,4.492,4.534,3.468,4.276,5.048,,,,,,,5.556,5.556,2.778,,,,,,,
