day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,5.556,5.000,5.556,4.498,3.889,5.405,3.397,5.271,6.099,4.683,4.800,3.801,,,,4.444,,4.444,5.000,4.444,5.556,5.556,3.889,,,,,,,
2,5.556,4.444,7.778,4.427,3.889,5.325,3.400,5.165,6.117,4.546,4.719,3.621,,,,4.444,3.889,4.444,5.000,4.444,5.556,5.000,3.889,,,,,,,
3,5.556,5.000,8.889,4.323,3.889,5.188,3.397,5.079,6.221,4.369,4.490,3.354,,,,4.444,3.889,4.444,5.000,3.333,5.000,5.000,3.889,,,,,,,
4,5.000,4.444,9.444,4.202,3.889,5.142,3.385,4.988,6.205,4.064,4.223,3.254,,,,3.889,3.333,4.444,4.444,3.333,5.000,3.889,3.889,,,,,,,
5,4.444,4.444,10.556,4.060,3.889,5.000,3.418,4.900,6.196,3.554,4.027,3.300,,,,3.889,3.333,4.444,4.444,3.333,5.000,3.889,3.889,,,,,,,
6,3.889,4.444,12.222,4.010,3.889,4.840,3.422,4.846,6.117,3.104,3.881,3.333,,,,3.889,3.333,4.444,4.444,2.778,5.000,3.889,2.222,,,,,,,
7,3.889,4.444,6.111,4.010,3.889,4.748,3.389,4.863,6.071,2.839,3.769,3.465,,,,3.889,3.333,4.444,4.444,2.778,5.556,3.889,2.222,,,,,,,
8,3.889,4.444,6.111,3.908,,4.786,3.360,4.873,6.005,2.495,3.604,3.582,,,,3.889,3.333,3.889,4.444,2.778,5.556,3.889,2.222,,,,,,,
9,3.889,4.444,6.111,3.866,3.889,4.727,3.272,4.856,5.934,2.237,3.583,3.738,,,,3.889,3.333,3.889,4.444,2.778,5.556,3.333,2.222,,,,,,,
10,3.889,3.333,6.111,3.829,3.889,4.581,3.301,4.785,5.869,2.228,3.476,3.976,,,,3.889,3.333,3.889,4.444,2.778,5.556,3.333,1.111,,,,,,,
11,3.333,3.333,6.111,3.716,3.889,4.527,3.297,4.785,5.781,2.232,3.404,4.113,,,,3.889,3.333,3.889,4.444,2.778,5.556,3.333,1.111,,,,,,,
12,3.333,3.333,5.556,3.529,3.889,4.431,3.297,4.802,5.702,2.282,3.385,4.203,,,,3.889,3.333,3.889,4.444,2.778,5.556,3.333,1.111,,,,,,,
