"date","tailrace_temp","forebay_temp"
2005-06-01,14.128,14.198
2005-06-02,14.293,14.43
2005-06-03,14.366,14.473
2005-06-04,14.511,14.572
2005-06-05,14.834,15.043
2005-06-06,15.06,15.15
2005-06-07,15.23,15.329
2005-06-08,15.42,15.433
2005-06-09,15.513,15.445
2005-06-10,15.541,15.371
2005-06-11,15.593,15.642
2005-06-12,15.509,15.463
2005-06-13,15.271,15.133
2005-06-14,15.225,15.122
2005-06-15,15.154,15.029
2005-06-16,15.205,15.042
2005-06-17,15.205,15.053
2005-06-18,15.33,15.293
2005-06-19,15.579,15.482
2005-06-20,15.736,15.502
2005-06-21,15.887,15.602
2005-06-22,16.08,15.973
2005-06-23,16.42,16.391
2005-06-24,16.577,16.466
2005-06-25,16.46,16.388
2005-06-26,16.74,16.68
2005-06-27,16.89,17.066
2005-06-28,17.064,17.119
2005-06-29,16.998,16.915
2005-06-30,17.291,17.26
2005-07-01,17.633,17.498
2005-07-02,17.895,17.879
2005-07-03,18.135,18.243
2005-07-04,18.423,18.422
2005-07-05,18.683,18.513
2005-07-06,18.88,18.779
2005-07-07,19.525,19.551
2005-07-08,19.568,19.505
2005-07-09,19.748,19.644
2005-07-10,19.831,19.755
2005-07-11,20.086,19.976
2005-07-12,20.101,19.975
2005-07-13,20.165,20.002
2005-07-14,20.521,20.454
2005-07-15,20.72,20.513
2005-07-16,20.79,20.628
2005-07-17,20.94,20.781
2005-07-18,21.136,20.959
2005-07-19,21.189,20.966
2005-07-20,21.153,20.943
2005-07-21,21.434,21.094
2005-07-22,21.564,21.315
2005-07-23,21.569,21.361
2005-07-24,21.633,21.437
2005-07-25,21.621,21.432
2005-07-26,21.6,21.451
2005-07-27,21.677,21.362
2005-07-28,21.675,21.396
2005-07-29,21.651,21.465
2005-07-30,21.84,21.565
2005-07-31,22.016,21.675
2005-08-01,21.776,21.503
2005-08-02,21.757,21.528
2005-08-03,21.801,21.536
2005-08-04,21.821,21.593
2005-08-05,21.763,21.455
2005-08-06,21.747,21.401
2005-08-07,21.696,21.505
2005-08-08,21.941,21.568
2005-08-09,21.731,21.522
2005-08-10,21.589,21.38
2005-08-11,21.479,21.359
2005-08-12,21.561,21.463
2005-08-13,21.992,22.068
2005-08-14,21.562,21.301
2005-08-15,21.302,21.076
2005-08-16,21.162,20.859
2005-08-17,20.833,20.838
2005-08-18,21.153,21.293
2005-08-19,21.214,21.188
2005-08-20,21.076,21.009
2005-08-21,21.08,20.938
2005-08-22,20.969,20.863
2005-08-23,20.831,20.818
2005-08-24,20.973,21.055
2005-08-25,21.14,21.126
2005-08-26,21.149,21.088
2005-08-27,21.005,20.909
2005-08-28,20.831,20.646
2005-08-29,20.479,20.475
2005-08-30,20.642,20.846
2005-08-31,20.942,21.065
