"date","tailrace_temp","forebay_temp"
2005-06-01,15.035,15.066
2005-06-02,14.696,14.676
2005-06-03,13.522,13.924
2005-06-04,13.58,13.69
2005-06-05,13.061,13.32
2005-06-06,12.959,13.016
2005-06-07,13.054,13.098
2005-06-08,13.152,13.737
2005-06-09,13.303,13.873
2005-06-10,13.352,13.54
2005-06-11,13.459,13.787
2005-06-12,13.641,13.784
2005-06-13,13.771,14.155
2005-06-14,13.773,13.851
2005-06-15,13.825,14.06
2005-06-16,14.099,15.022
2005-06-17,14.399,14.989
2005-06-18,14.63,15.173
2005-06-19,14.863,15.515
2005-06-20,15.361,16.426
2005-06-21,15.739,16.587
2005-06-22,15.681,16.256
2005-06-23,16.082,16.846
2005-06-24,17.02,18.295
2005-06-25,17.447,18.414
2005-06-26,17.803,18.628
2005-06-27,18.103,18.938
2005-06-28,18.447,18.941
2005-06-29,18.63,19.19
2005-06-30,18.751,20.057
2005-07-01,18.223,18.996
2005-07-02,18.196,18.87
2005-07-03,18.407,19.015
2005-07-04,18.814,20.301
2005-07-05,19.158,20.582
2005-07-06,18.857,19.46
2005-07-07,18.878,19.505
2005-07-08,19.276,19.685
2005-07-09,19.515,20.095
2005-07-10,19.775,20.315
2005-07-11,19.761,20.473
2005-07-12,19.629,19.949
2005-07-13,19.271,19.539
2005-07-14,19.177,20.302
2005-07-15,19.551,21.143
2005-07-16,19.271,20.21
2005-07-17,19.205,20.316
2005-07-18,19.358,20.954
2005-07-19,19.185,20.705
2005-07-20,18.969,20.734
2005-07-21,19.224,21.578
2005-07-22,19.25,21.305
2005-07-23,18.865,20.673
2005-07-24,18.678,20.327
2005-07-25,18.583,20.069
2005-07-26,18.917,20.988
2005-07-27,19.328,21.771
2005-07-28,19.197,21.864
2005-07-29,18.625,21.089
2005-07-30,18.383,21.153
2005-07-31,18.593,21.374
2005-08-01,18.355,20.494
2005-08-02,18.207,20.09
2005-08-03,18.628,21.112
2005-08-04,19.073,22.029
2005-08-05,19.043,22.284
2005-08-06,18.786,22.03
2005-08-07,18.491,21.057
2005-08-08,18.68,21.853
2005-08-09,18.809,22.311
2005-08-10,18.517,20.967
2005-08-11,18.58,20.765
2005-08-12,18.738,21.408
2005-08-13,18.6,20.852
2005-08-14,18.642,21.15
2005-08-15,18.82,22.023
2005-08-16,18.845,21.886
2005-08-17,18.234,20.953
2005-08-18,18.224,21.023
2005-08-19,18.195,21.191
2005-08-20,18.663,21.715
2005-08-21,18.397,21.631
2005-08-22,18.316,20.846
2005-08-23,17.629,19.966
2005-08-24,17.872,19.911
