"date","tailrace_temp","forebay_temp"
2005-06-01,13.463,13.392
2005-06-02,13.779,13.658
2005-06-03,14.029,13.938
2005-06-04,14.221,14.083
2005-06-05,14.4,14.279
2005-06-06,14.329,14.242
2005-06-07,14.308,14.213
2005-06-08,14.121,13.95
2005-06-09,14.225,14.029
2005-06-10,14.4,14.288
2005-06-11,14.438,14.308
2005-06-12,14.05,13.85
2005-06-13,14.042,13.996
2005-06-14,14.138,13.858
2005-06-15,14.254,13.8
2005-06-16,14.696,14.154
2005-06-17,14.858,14.538
2005-06-18,15.092,14.821
2005-06-19,15.363,14.779
2005-06-20,15.508,14.821
2005-06-21,15.563,15.096
2005-06-22,15.617,15.138
2005-06-23,15.613,15.029
2005-06-24,15.933,15.421
2005-06-25,16.067,15.529
2005-06-26,16.121,15.663
2005-06-27,16.15,15.658
2005-06-28,16.1,15.7
2005-06-29,16.278,16.104
2005-06-30,16.404,16.217
2005-07-01,16.467,16.325
2005-07-02,16.55,16.417
2005-07-03,16.296,16.083
2005-07-04,16.613,16.408
2005-07-05,17.013,17.063
2005-07-06,17.421,17.338
2005-07-07,17.458,17.208
2005-07-08,17.421,17.358
2005-07-09,17.571,17.546
2005-07-10,17.446,17.392
2005-07-11,17.175,17.238
2005-07-12,17.088,16.663
2005-07-13,17.239,16.725
2005-07-14,17.338,16.758
2005-07-15,17.417,16.888
2005-07-16,17.604,17.075
2005-07-17,17.671,17.067
2005-07-18,17.946,17.396
2005-07-19,18.15,17.633
2005-07-20,18.196,17.696
2005-07-21,18.296,17.729
2005-07-22,18.404,17.875
2005-07-23,18.433,18.017
2005-07-24,18.554,18.004
2005-07-25,18.45,18.104
2005-07-26,18.622,18.571
2005-07-27,18.847,18.904
2005-07-28,18.943,18.838
2005-07-29,18.85,18.858
2005-07-30,19.017,18.938
2005-07-31,19.125,19.017
2005-08-01,19.178,19.046
2005-08-02,18.96,18.758
2005-08-03,NA,18.7
2005-08-04,19.235,19.021
2005-08-05,NA,19.25
2005-08-06,NA,NA
2005-08-07,NA,NA
2005-08-08,NA,NA
2005-08-09,NA,NA
2005-08-10,NA,NA
2005-08-11,NA,NA
2005-08-12,NA,NA
2005-08-13,NA,NA
2005-08-14,NA,NA
2005-08-15,NA,NA
2005-08-16,NA,NA
2005-08-17,NA,NA
2005-08-18,NA,NA
2005-08-19,NA,NA
2005-08-20,NA,NA
2005-08-21,NA,NA
2005-08-22,NA,NA
2005-08-23,NA,NA
2005-08-24,NA,NA
2005-08-25,NA,NA
2005-08-26,NA,NA
2005-08-27,NA,NA
2005-08-28,NA,NA
2005-08-29,NA,NA
2005-08-30,NA,NA
2005-08-31,NA,NA
2005-09-01,NA,NA
2005-09-02,NA,NA
2005-09-03,NA,NA
2005-09-04,NA,NA
2005-09-05,NA,NA
2005-09-06,NA,NA
2005-09-07,NA,NA
2005-09-08,NA,NA
2005-09-09,NA,NA
2005-09-10,NA,NA
2005-09-11,NA,NA
2005-09-12,NA,NA
2005-09-13,NA,NA
2005-09-14,NA,NA
2005-09-15,NA,NA
2005-09-16,NA,NA
2005-09-17,NA,NA
2005-09-18,NA,NA
2005-09-19,NA,NA
2005-09-20,NA,NA
2005-09-21,NA,NA
2005-09-22,NA,NA
2005-09-23,NA,NA
2005-09-24,NA,NA
2005-09-25,NA,NA
2005-09-26,NA,NA
2005-09-27,NA,NA
2005-09-28,NA,NA
2005-09-29,NA,NA
2005-09-30,NA,NA
2005-10-01,NA,NA
2005-10-02,NA,NA
2005-10-03,NA,NA
2005-10-04,NA,NA
2005-10-05,NA,NA
2005-10-06,NA,NA
2005-10-07,NA,NA
2005-10-08,NA,NA
2005-10-09,NA,NA
2005-10-10,NA,NA
2005-10-11,NA,NA
2005-10-12,NA,NA
2005-10-13,NA,NA
2005-10-14,NA,NA
2005-10-15,NA,NA
2005-10-16,NA,NA
2005-10-17,NA,NA
2005-10-18,NA,NA
2005-10-19,NA,NA
2005-10-20,NA,NA
2005-10-21,NA,NA
2005-10-22,NA,NA
2005-10-23,NA,NA
2005-10-24,NA,NA
2005-10-25,NA,NA
2005-10-26,NA,NA
2005-10-27,NA,NA
2005-10-28,NA,NA
2005-10-29,NA,NA
2005-10-30,NA,NA
2005-10-31,NA,NA
2005-11-01,NA,NA
2005-11-02,NA,NA
2005-11-03,NA,NA
2005-11-04,NA,NA
2005-11-05,NA,NA
2005-11-06,NA,NA
2005-11-07,NA,NA
2005-11-08,NA,NA
2005-11-09,NA,NA
2005-11-10,NA,NA
2005-11-11,NA,NA
2005-11-12,NA,NA
2005-11-13,NA,NA
2005-11-14,NA,NA
2005-11-15,NA,NA
2005-11-16,NA,NA
2005-11-17,NA,NA
2005-11-18,NA,NA
2005-11-19,NA,NA
2005-11-20,NA,NA
2005-11-21,NA,NA
2005-11-22,NA,NA
2005-11-23,NA,NA
2005-11-24,NA,NA
2005-11-25,NA,NA
2005-11-26,NA,NA
2005-11-27,NA,NA
2005-11-28,NA,NA
2005-11-29,NA,NA
2005-11-30,NA,NA
2005-12-01,NA,NA
2005-12-02,NA,NA
2005-12-03,NA,NA
2005-12-04,NA,NA
2005-12-05,NA,NA
2005-12-06,NA,NA
2005-12-07,NA,NA
