"date","tailrace_temp","forebay_temp"
2005-06-01,13.382,13.429
2005-06-02,13.433,13.475
2005-06-03,13.333,13.375
2005-06-04,13.213,13.267
2005-06-05,13.292,13.342
2005-06-06,13.379,13.417
2005-06-07,13.375,13.433
2005-06-08,13.133,13.204
2005-06-09,12.913,12.988
2005-06-10,12.808,12.975
2005-06-11,12.658,13.221
2005-06-12,13.008,13.579
2005-06-13,13.4,14
2005-06-14,13.371,13.996
2005-06-15,13.388,14.088
2005-06-16,13.654,14.004
2005-06-17,13.917,13.954
2005-06-18,14.071,14.129
2005-06-19,14.288,14.304
2005-06-20,14.404,14.417
2005-06-21,14.7,14.683
2005-06-22,15.079,15.096
2005-06-23,15.042,15.071
2005-06-24,15.096,15.117
2005-06-25,15.288,15.313
2005-06-26,15.438,15.454
2005-06-27,15.333,15.363
2005-06-28,15.225,15.233
2005-06-29,15.45,15.471
2005-06-30,15.413,15.438
2005-07-01,15.6,15.592
2005-07-02,16.01,16
2005-07-03,16.046,16.046
2005-07-04,16.308,16.304
2005-07-05,16.521,16.496
2005-07-06,16.708,16.683
2005-07-07,16.617,16.642
2005-07-08,16.008,16.013
2005-07-09,15.904,15.908
2005-07-10,16.258,16.283
2005-07-11,16.254,16.275
2005-07-12,16.183,16.2
2005-07-13,16.471,16.475
2005-07-14,16.622,16.643
2005-07-15,16.746,16.771
2005-07-16,16.958,16.958
2005-07-17,17.033,17.054
2005-07-18,17.05,17.071
2005-07-19,17.267,17.283
2005-07-20,17.522,17.554
2005-07-21,17.496,17.533
2005-07-22,17.429,17.45
2005-07-23,17.617,17.646
2005-07-24,17.692,17.713
2005-07-25,17.692,17.721
2005-07-26,17.758,17.775
2005-07-27,18.025,18.025
2005-07-28,18.117,18.121
2005-07-29,18.063,18.054
2005-07-30,18.033,18.033
2005-07-31,18.221,18.217
2005-08-01,18.396,18.383
2005-08-02,18.438,18.433
2005-08-03,18.717,18.688
2005-08-04,18.613,18.6
2005-08-05,18.542,18.533
2005-08-06,18.763,18.758
2005-08-07,18.888,18.867
2005-08-08,18.85,18.838
2005-08-09,18.904,18.896
2005-08-10,19.129,19.121
2005-08-11,19.267,19.258
2005-08-12,19.4,19.379
2005-08-13,19.392,19.375
2005-08-14,19.492,19.496
2005-08-15,19.554,19.554
2005-08-16,19.563,19.55
2005-08-17,19.488,19.475
2005-08-18,19.4,19.392
2005-08-19,19.392,19.379
2005-08-20,19.333,19.342
2005-08-21,19.529,19.542
2005-08-22,19.792,19.779
2005-08-23,19.533,19.513
2005-08-24,19.425,19.404
2005-08-25,19.438,19.417
2005-08-26,19.438,19.425
2005-08-27,19.504,19.483
2005-08-28,19.579,19.588
2005-08-29,19.538,19.521
2005-08-30,19.338,19.304
2005-08-31,19.183,19.167
2005-09-01,19.317,19.292
2005-09-02,19.5,19.475
2005-09-03,19.504,19.525
2005-09-04,19.513,19.558
2005-09-05,19.375,19.375
2005-09-06,19.471,19.488
2005-09-07,19.304,19.275
2005-09-08,19.321,19.279
2005-09-09,19.263,19.229
2005-09-10,19.05,19.071
2005-09-11,18.942,18.913
2005-09-12,18.875,18.867
2005-09-13,18.875,18.888
2005-09-14,18.946,18.921
2005-09-15,18.829,18.821
