"date","tailrace_temp","forebay_temp"
2005-06-01,13.395,13.427
2005-06-02,13.288,13.288
2005-06-03,13.233,13.225
2005-06-04,13.146,13.133
2005-06-05,13.383,13.367
2005-06-06,13.396,13.383
2005-06-07,13.296,13.313
2005-06-08,13.013,13.017
2005-06-09,12.838,12.817
2005-06-10,12.871,12.904
2005-06-11,13.213,13.3
2005-06-12,13.796,13.688
2005-06-13,13.7,13.6
2005-06-14,13.879,13.858
2005-06-15,13.975,13.971
2005-06-16,13.813,13.863
2005-06-17,13.85,13.838
2005-06-18,14.075,14.075
2005-06-19,14.117,14.246
2005-06-20,14.446,14.567
2005-06-21,14.908,14.925
2005-06-22,14.913,14.95
2005-06-23,14.921,14.929
2005-06-24,15.058,15.092
2005-06-25,15.133,15.167
2005-06-26,15.275,15.283
2005-06-27,15.171,15.188
2005-06-28,15.167,15.204
2005-06-29,15.308,15.321
2005-06-30,15.233,15.246
2005-07-01,15.608,NA
2005-07-02,15.895,NA
2005-07-03,15.925,NA
2005-07-04,16.192,NA
2005-07-05,16.35,NA
2005-07-06,16.613,NA
2005-07-07,16.283,NA
2005-07-08,15.813,NA
2005-07-09,15.888,NA
2005-07-10,16.258,NA
2005-07-11,16.058,NA
2005-07-12,16.125,15.904
2005-07-13,16.421,16.454
2005-07-14,16.513,16.535
2005-07-15,16.725,16.767
2005-07-16,16.838,16.858
2005-07-17,16.846,16.829
2005-07-18,16.917,16.933
2005-07-19,17.238,17.25
2005-07-20,17.438,17.458
2005-07-21,17.3,17.304
2005-07-22,17.346,17.367
2005-07-23,17.633,17.621
2005-07-24,17.542,17.533
2005-07-25,17.496,17.492
2005-07-26,17.775,17.792
2005-07-27,17.942,17.946
2005-07-28,17.925,17.933
2005-07-29,17.892,17.883
2005-07-30,17.896,17.925
2005-07-31,18.104,18.129
2005-08-01,18.342,18.358
2005-08-02,18.475,18.533
2005-08-03,18.467,18.508
2005-08-04,18.321,18.408
2005-08-05,18.433,18.488
2005-08-06,18.738,18.704
2005-08-07,18.721,18.696
2005-08-08,18.65,18.667
2005-08-09,18.808,18.883
2005-08-10,19.092,19.133
2005-08-11,19.225,19.304
2005-08-12,19.275,19.313
2005-08-13,19.283,19.35
2005-08-14,19.346,19.354
2005-08-15,19.4,19.408
2005-08-16,19.425,19.454
2005-08-17,19.329,19.396
2005-08-18,19.15,19.292
2005-08-19,19.275,19.325
2005-08-20,19.229,19.292
2005-08-21,19.629,19.679
2005-08-22,19.642,19.675
2005-08-23,19.333,19.492
2005-08-24,19.296,19.392
2005-08-25,19.367,19.35
2005-08-26,19.429,19.417
2005-08-27,19.533,19.496
2005-08-28,19.529,19.538
2005-08-29,19.517,19.492
2005-08-30,19.263,19.225
2005-08-31,19.258,19.229
2005-09-01,19.446,19.408
2005-09-02,19.554,19.538
2005-09-03,19.625,19.688
2005-09-04,19.596,19.646
2005-09-05,19.542,19.558
2005-09-06,19.404,19.338
2005-09-07,19.275,19.238
2005-09-08,19.321,19.3
2005-09-09,19.267,19.246
2005-09-10,19.125,19.117
2005-09-11,18.95,18.917
2005-09-12,18.925,18.9
2005-09-13,18.95,18.921
2005-09-14,18.883,18.842
2005-09-15,18.821,18.8
2005-09-16,18.875,18.825
2005-09-17,18.892,18.871
2005-09-18,18.838,18.846
2005-09-19,18.904,18.879
2005-09-20,18.779,18.733
2005-09-21,NA,NA
2005-09-22,NA,NA
2005-09-23,NA,NA
2005-09-24,NA,NA
2005-09-25,NA,NA
2005-09-26,NA,NA
2005-09-27,NA,NA
2005-09-28,NA,NA
2005-09-29,NA,NA
2005-09-30,NA,NA
2005-10-01,NA,NA
2005-10-02,NA,NA
2005-10-03,NA,NA
2005-10-04,NA,NA
2005-10-05,NA,NA
2005-10-06,NA,NA
2005-10-07,NA,NA
2005-10-08,NA,NA
2005-10-09,NA,NA
2005-10-10,NA,NA
2005-10-11,NA,NA
2005-10-12,17.713,17.667
2005-10-13,16.879,16.854
2005-10-14,16.875,16.875
2005-10-15,16.821,16.8
2005-10-16,16.779,16.763
2005-10-17,16.754,16.754
2005-10-18,16.683,16.65
2005-10-19,16.575,16.538
2005-10-20,16.541,16.491
2005-10-21,16.496,16.475
2005-10-22,16.421,16.396
2005-10-23,NA,NA
2005-10-24,NA,NA
2005-10-25,NA,NA
2005-10-26,NA,NA
2005-10-27,NA,NA
2005-10-28,NA,NA
2005-10-29,NA,NA
2005-10-30,NA,NA
2005-10-31,NA,NA
2005-11-01,NA,NA
2005-11-02,NA,NA
2005-11-03,NA,NA
2005-11-04,NA,NA
2005-11-05,NA,NA
2005-11-06,NA,NA
2005-11-07,NA,NA
2005-11-08,NA,NA
2005-11-09,NA,NA
2005-11-10,NA,NA
2005-11-11,NA,NA
2005-11-12,NA,NA
2005-11-13,NA,NA
