"date","tailrace_temp","forebay_temp"
2005-06-01,12.572,12.671
2005-06-02,12.56,12.611
2005-06-03,12.792,12.913
2005-06-04,13.06,13.227
2005-06-05,12.935,13.007
2005-06-06,12.944,12.831
2005-06-07,12.751,12.63
2005-06-08,12.428,12.47
2005-06-09,12.539,12.648
2005-06-10,13.091,13.177
2005-06-11,13.16,13.245
2005-06-12,13.481,13.627
2005-06-13,13.639,13.678
2005-06-14,13.488,13.514
2005-06-15,13.414,13.477
2005-06-16,13.595,13.675
2005-06-17,13.579,13.616
2005-06-18,13.556,13.611
2005-06-19,13.556,13.611
2005-06-20,14.222,14.278
2005-06-21,14.488,14.535
2005-06-22,14.512,14.551
2005-06-23,14.725,14.796
2005-06-24,14.766,14.809
2005-06-25,14.75,14.796
2005-06-26,14.761,14.872
2005-06-27,14.958,15.002
2005-06-28,14.804,14.812
2005-06-29,14.782,14.843
2005-06-30,15.34,15.419
2005-07-01,15.495,15.553
2005-07-02,15.606,15.646
2005-07-03,15.653,15.762
2005-07-04,15.956,16.123
2005-07-05,16.028,16.097
2005-07-06,15.551,15.525
2005-07-07,15.488,15.546
2005-07-08,15.926,15.979
2005-07-09,15.639,15.683
2005-07-10,15.632,15.713
2005-07-11,15.882,15.938
2005-07-12,16.088,16.113
2005-07-13,16.129,16.177
2005-07-14,16.532,16.598
2005-07-15,16.572,16.588
2005-07-16,16.35,16.408
2005-07-17,16.579,16.755
2005-07-18,16.9,16.947
2005-07-19,16.928,16.956
2005-07-20,16.833,16.868
2005-07-21,17.15,17.257
2005-07-22,17.159,17.163
2005-07-23,NA,NA
2005-07-24,NA,NA
2005-07-25,NA,NA
2005-07-26,NA,NA
2005-07-27,17.438,17.431
2005-07-28,17.428,17.454
2005-07-29,17.59,17.625
2005-07-30,17.845,17.914
2005-07-31,18.134,18.273
2005-08-01,18.131,18.119
2005-08-02,17.942,18.025
2005-08-03,17.958,18.102
2005-08-04,18.194,18.236
2005-08-05,18.134,18.169
2005-08-06,18.058,18.169
2005-08-07,18.306,18.431
2005-08-08,18.646,18.715
2005-08-09,18.833,18.889
2005-08-10,18.859,18.905
2005-08-11,18.877,18.921
2005-08-12,18.942,18.988
2005-08-13,18.958,19.125
2005-08-14,19.03,19.174
2005-08-15,19.109,19.137
2005-08-16,19.058,19.085
2005-08-17,19.109,19.132
