"","origin","rear","homing_lower","homing_median","homing_upper","state","overshoot_lower","overshoot_median","overshoot_upper","abbrev","DPS","label_position"
"1","Wenatchee River","natural",0.706,0.764,0.815025,"mainstem, RRE to WEL",0.00895504815789063,0.0389571786035177,0.101638724154177,"WEN","Upper Columbia","topright"
"2","Wenatchee River","hatchery",0.41395,0.537,0.642025,"mainstem, RRE to WEL",0.0860361013485232,0.180079703781746,0.301664071517695,"WEN","Upper Columbia","bottomleft"
"3","Entiat River","natural",0.58495,0.653,0.71705,"mainstem, upstream of WEL",0.231653135154,0.31994400257463,0.405422856247337,"ENT","Upper Columbia","topright"
"4","Okanogan River","hatchery",0.485,0.586,0.706025,NA,NA,NA,NA,"OKA","Upper Columbia","left"
"5","Methow River","natural",0.542975,0.64,0.743,NA,NA,NA,NA,"MET","Upper Columbia","left"
"6","Methow River","hatchery",0.425975,0.488,0.556,NA,NA,NA,NA,"MET","Upper Columbia","right"
"7","Deschutes River","natural",0.328,0.542,0.76805,"mainstem, MCN to ICH or PRA",6.48256040764683e-05,0.00553058615877036,0.0875980347219874,"DES","Middle Columbia","topleft"
"8","John Day River","natural",0.442,0.534,0.619025,"mainstem, MCN to ICH or PRA",0.174755806598834,0.252123900802333,0.34141184674661,"JDR","Middle Columbia","topleft"
"9","Fifteenmile Creek","natural",0.240975,0.43,0.599025,"mainstem, MCN to ICH or PRA",0.0201488769271576,0.0604185261323209,0.142408569084242,"15M","Middle Columbia","bottomright"
"10","Umatilla River","natural",0.524975,0.622,0.704025,"mainstem, MCN to ICH or PRA",0.11139258503003,0.181403036487622,0.279107984525484,"UMA","Middle Columbia","topleft"
"11","Umatilla River","hatchery",0.198925,0.308,0.450075,"mainstem, MCN to ICH or PRA",0.130981301936088,0.257002142228481,0.407079047923077,"UMA","Middle Columbia","topleft"
"12","Yakima River","natural",0.682975,0.752,0.809,"mainstem, ICH to LGR OR mainstem, PRA to RIS",0.00751594410515317,0.0272727040670453,0.0749726616484238,"YAK","Middle Columbia","bottomright"
"13","Walla Walla River","natural",0.3999,0.514,0.607025,"mainstem, ICH to LGR OR mainstem, PRA to RIS",0.215838560335847,0.300582473574952,0.40090257210859,"WAWA","Middle Columbia","bottomright"
"14","Walla Walla River","hatchery",0.132,0.186,0.28505,"mainstem, ICH to LGR OR mainstem, PRA to RIS",0.541836771827718,0.607465342525387,0.677050946211771,"WAWA","Middle Columbia","topright"
"15","Asotin Creek","natural",0.522975,0.6075,0.685,NA,NA,NA,NA,"ASO","Snake River","right"
"16","Imnaha River","natural",0.622975,0.689,0.744,NA,NA,NA,NA,"IMN","Snake River","right"
"17","Imnaha River","hatchery",0.352,0.4185,0.480025,NA,NA,NA,NA,"IMN","Snake River","right"
"18","Tucannon River","natural",0.245925,0.329,0.405025,"mainstem, upstream of LGR",0.503866717749801,0.584010198294145,0.662967747042094,"TUC","Snake River","topright"
"19","Tucannon River","hatchery",0.22,0.298,0.371025,"mainstem, upstream of LGR",0.463649132544635,0.549052657486474,0.631985780257437,"TUC","Snake River","bottomleft"
