"","origin_rear","0","1","2+"
"1","Entiat River, Natural","0.64 (0.53 - 0.72)","0.36 (0.28 - 0.47)","-"
"2","John Day River, Natural","0.56 (0.46 - 0.68)","0.32 (0.23 - 0.4)","0.11 (0.07 - 0.16)"
"3","Tucannon River, Hatchery (not transported)","0.49 (0.42 - 0.56)","0.51 (0.44 - 0.58)","-"
"4","Tucannon River, Hatchery (transported)","0.76 (0.66 - 0.93)","0.24 (0.07 - 0.34)","-"
"5","Tucannon River, Natural (not transported)","0.47 (0.39 - 0.55)","0.53 (0.45 - 0.61)","-"
"6","Tucannon River, Natural (transported)","0.58 (0.29 - 0.97)","0.42 (0.03 - 0.71)","-"
"7","Umatilla River, Hatchery","0.69 (0.57 - 0.82)","0.25 (0.14 - 0.35)","0.06 (0.02 - 0.11)"
"8","Umatilla River, Natural","0.64 (0.53 - 0.75)","0.26 (0.18 - 0.35)","0.1 (0.06 - 0.15)"
"9","Walla Walla River, Hatchery","0.38 (0.33 - 0.45)","0.35 (0.28 - 0.41)","0.27 (0.21 - 0.34)"
"10","Walla Walla River, Natural","0.58 (0.49 - 0.68)","0.26 (0.2 - 0.32)","0.16 (0.11 - 0.22)"
"11","Wenatchee River, Hatchery","0.78 (0.67 - 0.88)","0.05 (0.03 - 0.09)","0.16 (0.09 - 0.25)"
"12","Wenatchee River, Natural","0.95 (0.9 - 1)","0.03 (0 - 0.07)","0.02 (0 - 0.05)"
"13","Yakima River, Natural","0.85 (0.79 - 0.9)","0.1 (0.06 - 0.15)","0.05 (0.02 - 0.08)"
