"","origin_rear","0","1","2+"
"1","Entiat River, Natural","0.63 (0.53 - 0.69)","0.71 (0.6 - 0.82)","-"
"2","John Day River, Natural","0.66 (0.55 - 0.75)","0.5 (0.42 - 0.57)","0.15 (0.07 - 0.25)"
"3","Tucannon River, Hatchery (not transported)","0.33 (0.24 - 0.44)","0.28 (0.22 - 0.34)","-"
"4","Tucannon River, Hatchery (transported)","0.22 (0.08 - 0.42)","0.25 (0.14 - 0.37)","-"
"5","Tucannon River, Natural (not transported)","0.44 (0.32 - 0.56)","0.29 (0.21 - 0.37)","-"
"6","Tucannon River, Natural (transported)","0.23 (0 - 0.61)","0.14 (0.01 - 0.41)","-"
"7","Umatilla River, Hatchery","0.34 (0.2 - 0.51)","0.3 (0.2 - 0.42)","0.12 (0.04 - 0.25)"
"8","Umatilla River, Natural","0.68 (0.56 - 0.78)","0.67 (0.58 - 0.75)","0.26 (0.13 - 0.39)"
"9","Walla Walla River, Hatchery","0.32 (0.24 - 0.43)","0.15 (0.1 - 0.35)","0.05 (0.02 - 0.11)"
"10","Walla Walla River, Natural","0.58 (0.44 - 0.69)","0.55 (0.44 - 0.65)","0.15 (0.1 - 0.23)"
"11","Wenatchee River, Hatchery","0.64 (0.56 - 0.72)","0.47 (0.33 - 0.63)","0.05 (0.02 - 0.1)"
"12","Wenatchee River, Natural","0.77 (0.71 - 0.82)","0.91 (0.67 - 1)","0.57 (0.17 - 1)"
"13","Yakima River, Natural","0.77 (0.69 - 0.83)","0.87 (0.75 - 0.95)","0.3 (0.12 - 0.55)"
